,,,,,plot.id,bapa,tpa,qmd,rd,vol.pa,iv,cords,kanoti conversion
,,,,,C1,119.5,1510,3.8,61.2,4867.6,0.0,61.6,1.9
,,,,,C2,64.1,480,4.9,28.8,2893.3,0.0,36.6,1.8
,,,,,C3,102.3,1290,3.8,52.4,4736.8,0.0,60.0,1.7
,,,,,C4,115.4,1800,3.4,62.3,5790.1,0.0,73.3,1.6
,,,,,HC1,41.6,520,3.8,21.3,1317.6,1.0,16.7,2.5
,,,,,HC2,86.2,960,4.1,42.8,2726.8,1.0,34.5,2.5
,,,,,HC3,94.0,1040,4.1,46.6,2942.0,1.0,37.2,2.5
,,,,,HC4,42.7,630,3.5,22.7,1403.5,1.0,17.8,2.4
,,,,,LC1,74.0,810,4.1,36.6,2900.7,0.1,36.7,2.0
,,,,,LC2,130.0,1690,3.8,67.1,5272.2,0.0,66.7,1.9
,,,,,LC3,109.6,1520,3.6,57.5,4518.2,0.0,57.2,1.9
,,,,,LC4,101.7,1630,3.4,55.3,4648.4,0.1,58.8,1.7
,,,,,MC1,84.3,1740,3.0,48.8,3646.0,0.1,46.2,1.8
,,,,,MC2,142.7,1870,3.7,73.8,5584.1,0.1,70.7,2.0
,,,,,MC3,101.5,1210,3.9,51.2,3758.1,0.2,47.6,2.1
,,,,,MC4,126.6,1950,3.4,68.1,5271.7,0.2,66.7,1.9
